"Book ID","Citation","Title","Tuning","Page"
"AlecSlater_1","Slater, 1979","Planxty George Brabazon","gDGBD",11
"AlecSlater_1","Slater, 1979","The Flowers of Edinburgh","gDGBD",12
"AlecSlater_1","Slater, 1979","Scotland the Brave","gDGBD",13
"AlecSlater_1","Slater, 1979","Morpeths Rant","gCGCD",14
"AlecSlater_1","Slater, 1979","The Morning Star","gDGBD",15
"AlecSlater_1","Slater, 1979","Off To California","gDGBD",16
"AlecSlater_1","Slater, 1979","Staten Island Hornpipe","gCGCD",17
"AlecSlater_1","Slater, 1979","Speed the Plough","gDGBD",18
"AlecSlater_1","Slater, 1979","Devils Dream","gDGBD",19
"AlecSlater_1","Slater, 1979","Rakish Paddy","gCGCD",20
"AlecSlater_1","Slater, 1979","Sailors Hornpipe","gDGBD",21
"AlecSlater_1","Slater, 1979","Lady Montgomery","gCGCD",22
"AlecSlater_1","Slater, 1979","Farewell to Whiskey","gDGBD",23
"AlecSlater_1","Slater, 1979","Bonaparte Crossing the Rhine","gCGCD",25
"AlecSlater_1","Slater, 1979","Old Bill Cheathum","gDGBD",26
"AlecSlater_1","Slater, 1979","Bethel Street Reel","gDGBD",27
"AlecSlater_1","Slater, 1979","Weiser Tune","gCGCD",28
"AlecSlater_1","Slater, 1979","Banjo Shuffle","gDGBD",29
"AlecSlater_1","Slater, 1979","Turkey in the Straw","gDGBD",30
"AlecSlater_1","Slater, 1979","Slaters Hornpipe","gDGBD",31
"AlecSlater_1","Slater, 1979","Forked Deer","gCGCD",32
"AlecSlater_1","Slater, 1979","Star of the County Down","gDGBD",34
"AlecSlater_1","Slater, 1979","Jenny Picking Cockles","gDGCD",35
"AlecSlater_1","Slater, 1979","The Musical Priest","gDGCD",36
"AlecSlater_1","Slater, 1979","The Highway to Limerick","gDGCD",37
"AlecSlater_1","Slater, 1979","Frost and Snow","adgce",38
"AlecSlater_1","Slater, 1979","The First of May","gDGCD",39
"AlecSlater_1","Slater, 1979","Bonaparte Crossing the Rhine","gDGCD",40
"AlecSlater_1","Slater, 1979",Drowsy Maggy gDGBD Page41
"AlecSlater_1","Slater, 1979","Oh Come Ye To Zion","gCGCD",43
"AlecSlater_1","Slater, 1979","Dermot O’Dowd","gDGCD",44
"AlecSlater_1","Slater, 1979","Shes Like A Swallow","gCGCD",45
"AlecSlater_1","Slater, 1979","Waltzing Over the Waterfall","gCGCD",46
"AlecSlater_1","Slater, 1979","County Down Waltz","gDGCD",47
"AlecSlater_1","Slater, 1979","Consolation","gDGBD",49
"AlecSlater_1","Slater, 1979","Come Life Shaker Life","gDGBD",50
"AlecSlater_1","Slater, 1979","Lincoln Street Blues","gDGBbD",51
"AlecSlater_1","Slater, 1979","Give the Fiddler a Dram","gDGBD",52
"AlecSlater_1","Slater, 1979","Santa Annas Retreat","gDGCD",53
"AlecSlater_1","Slater, 1979","Kiowa Special","gCGCD",54
"AlecSlater_1","Slater, 1979","East Virginia","gDGCD",55
"AlecSlater_1","Slater, 1979","Sally in the Garden","gDGCD",56
"AlecSlater_1","Slater, 1979","West Virginia Gals","gDGCD",57
"AlecSlater_1","Slater, 1979","Nine Hundred Miles","gDGCD",58
"AlecSlater_1","Slater, 1979","Tater Patch","gDGCD",59
"AlecSlater_1","Slater, 1979","Pretty Polly","gDGCD",60
"AlecSlater_1","Slater, 1979","Shady Grove","gDGCD",61
"AlecSlater_1","Slater, 1979","Sometimes I Drink Whiskey","gDGBD",64
"AlecSlater_1","Slater, 1979","Wildwood Flower","gCGCD",65
"AlecSlater_1","Slater, 1979","Flop Eared Mule","gDGBD",66
"AlecSlater_1","Slater, 1979","Double File","gDGBD",67
"AlecSlater_1","Slater, 1979","Liza Jane","gDGBD",68
"AlecSlater_1","Slater, 1979","Santa Clause Come and Gone","gDGBD",69
"AlecSlater_1","Slater, 1979","Got a Little Home To Go to","gDGBD",70
