"Book ID","Citation","Page","Tuning","Title"
"Miles","Krassen, 1974",38,"aEGBE","28th of January"
"Mel_Bay_1","Schmitz/Slater, 1994",81,"gCGCD","42-Pound Check"
"David","Brody, 1985",62,"gCGCD","8th of January"
"Ken_1","Perlman, 1979",30,"gCGCD","8th of January"
"Tim_2","Jumper, 1984",153,"gDGBD","8th of January"
"Dwight","Diller, Web",,"gDGBD","Abe's Retreat"
"Tim_2","Jumper, 1984",211,"gDGBD","Across the Western Ocean"
"David","Brody, 1985",18,"gCGCD","After the Battle of Aughrim"
"Bob","Carlin, 1983",9,"fCFCD","Ain't Gonna Get No Supper Here Tonight"
"Tim_2","Jumper, 1984",38,"gDGBD","Ain't Gonna Work Tomorrow"
"John","Burke, 1968",50,"gDGBD","Alabama Gal"
"Mel_Bay_1","Schmitz/Slater, 1994",115,"gDGBD","Alabama Jubilee"
"Tim_2","Jumper, 1984",234,"gDGBD","All the Good Times Are Past and Gone"
"Tim_2","Jumper, 1984",254,"gDGBD","Amazing Grace"
"Tim_2","Jumper, 1984",216,"gCGBD","Angelina Baker"
"Miles","Krassen, 1974",23,"gCGCD","Angeline"
"Tim_2","Jumper, 1984",148,"gCGCD","Angeline"
"Dan_2","Levenson, 2003",60,"gCGCD","Angeline the Baker"
"David","Brody, 1985",19,"gCGCD","Angeline the Baker"
"Dwight","Diller, Web",,"gDGCD","Angeline the Baker"
"Ken_2","Perlman, 1989",75,"gCGCD","Angeline the Baker"
"Ken_2","Perlman, 1989",88,"gCGCD","Angeline the Baker"
"Mel_Bay_2","Muller/Koehler, 1973",46,"gCGCD","Angeline the Baker"
"Ken_5","Perlman, 2004",38,"gCGCD","Angeline the Baker (octave up)"
"David","Brody, 1985",20,"gCGCD","Another Jig Will Do"
"Ken_3","Perlman, NA",7,"gCGCD","Archie Menzies"
"Art_1","Rosenbaum, 1981",59,"gCGBD","Arkansas Traveler"
"Art_2","Rosenbaum, 1968",50,"gCGBD","Arkansas Traveler"
"Brad_1","Leftwich, 1999",62,"gCGCD","Arkansas Traveler"
"Dan_2","Levenson, 2003",61,"gCGCD","Arkansas Traveler"
"David","Brody, 1985",20,"gCGCD","Arkansas Traveler"
"John","Burke, 1968",66,"gCGCD","Arkansas Traveler"
"Ken_2","Perlman, 1989",62,"gDGBD","Arkansas Traveler"
"Ken_5","Perlman, 2004",49,"gCGCD","Arkansas Traveler"
"Larry","Peterson, NA",61,"gCGCD","Arkansas Traveler"
"Mel_Bay_2","Muller/Koehler, 1973",66,"gCGCD","Arkansas Traveler"
