"Book ID","Citation","Title","Tuning","Page"
"Flesher_1","Flesher, 1","Dance All Night","gDGBD",3
"Flesher_1","Flesher, 1","You Aint Talking To Me","gCGBD",6
"Flesher_1","Flesher, 1","Money Musk","gDGBD",9
"Flesher_1","Flesher, 1","Theres More Pretty Girls Than One","gCGBD",19
"Flesher_1","Flesher, 1","Fire on the Mountain","gDGBD",12
"Flesher_1","Flesher, 1","Gypsy Girl","gDGBD",14
"Flesher_1","Flesher, 1","Pig Ankle Rag","gCGBD",16
"Flesher_1","Flesher, 1","Wild Bill Jones","gCGBD",18
"Flesher_1","Flesher, 1","Sleeping Lulu","gCGBD",20
"Flesher_1","Flesher, 1","Meeting in the Air","gDGBD",22
"Flesher_1","Flesher, 1","Hawks and Eagles","gCGBD",24
"Flesher_1","Flesher, 1","Who Broke the the Lock","gDGBD",26
"Flesher_1","Flesher, 1","Way Out There","gCGBD",28
"Flesher_1","Flesher, 1","Carroll County Blues","gCGBD",30
"Flesher_1","Flesher, 1","Old Jimmy Sutton","gCGBD",32
"Flesher_1","Flesher, 1","Devilish Mary","gCGBD",34
"Flesher_1","Flesher, 1","Way Down on the Old Plank Road","gCGBD",36
"Flesher_1","Flesher, 1","Tater Patch","gCGBD",38
"Flesher_1","Flesher, 1","Dixie Darling","gDGBD",40
"Flesher_1","Flesher, 1","Free Little Bird","gDGBD",42
"Flesher_1","Flesher, 1","Been All Around This World","gCGBD",44
"Flesher_1","Flesher, 1","Goodbye Miss Liza Jane","gCGBD",46
"Flesher_1","Flesher, 1","Lee Highway Blues","gCGBD",48
"Flesher_2","Flesher, 2","Nellie Bly","gCGCE",1
"Flesher_2","Flesher, 2","Jim Crow Jig","gCGBD",4
"Flesher_2","Flesher, 2","Don’t Bet Money on the Shanghi","gDGBD",6
"Flesher_2","Flesher, 2","June Apple","gDGBD",8
"Flesher_2","Flesher, 2","Gwine Back to Dixie","gDGBD",11
"Flesher_2","Flesher, 2","Picnic on Groundhog Mountain","gDGBD",13
"Flesher_2","Flesher, 2","Buckhorn","gCGCE",16
"Flesher_2","Flesher, 2","Banjo Billy","gDGBD",18
"Flesher_2","Flesher, 2","Rosin the Beau","gDGBD",22
"Flesher_2","Flesher, 2","Buffalo Road","gDGBD",25
"Flesher_2","Flesher, 2","Ore’ the Blueridge Mountains","gCGCE",28
"Flesher_2","Flesher, 2","Mississippi Sawyer","gCGCE",30
"Flesher_2","Flesher, 2","Travelling Back to Dixie","gCGBD",32
"Flesher_2","Flesher, 2","John Browns Dream","gDGBD",36
"Flesher_2","Flesher, 2","Ham Beats all Meat","gDGBD",38
"Flesher_2","Flesher, 2","Hand me Down My Walking Cane","gDGBD",40
"Flesher_2","Flesher, 2","Old Joe Kicking Up","gDGBD",42
"Flesher_2","Flesher, 2","Boatmans Dance","gDGBD",44
"Flesher_2","Flesher, 2","Home Sweet Home","gCGCE",46
"Flesher_3","Flesher, 3","Snowdrop","gCGCE",1
"Flesher_3","Flesher, 3","Dusty Miller","gDGBD",4
"Flesher_3","Flesher, 3","Citico","gDGBD",6
"Flesher_3","Flesher, 3","Ring, Ring the Banjo","gDGBD",8
"Flesher_3","Flesher, 3","Buckdancer’s Choice","gCGBD",10
"Flesher_3","Flesher, 3","Soldier’s Joy","gCGCE",14
"Flesher_3","Flesher, 3","Cacklin’ Hen","gDGBD",17
"Flesher_3","Flesher, 3","Buckhorn","gCGCE",20
"Flesher_3","Flesher, 3","Listen to the Mockingbird","gDGBD",22
"Flesher_3","Flesher, 3","Spanish Fandango","gCGCE",24
"Flesher_3","Flesher, 3","East Tennesseee Blues","gDGBD",27
"Flesher_3","Flesher, 3","Yellow Rose of Texas","gCGCE",29
"Flesher_4","Flesher, 4","Meet Me Tonight in the Moonlight","gCGCE",1
"Flesher_4","Flesher, 4","Blackberry Blossom","gDGBD",3
"Flesher_4","Flesher, 4","The Good Sweet Ham","gDGBD",5
"Flesher_4","Flesher, 4","Maple on the Hill","gDGBD",7
"Flesher_4","Flesher, 4","Get Up in the Morning","gCGBD",9
"Flesher_4","Flesher, 4","I’ll Be There","gDGBD",11
"Flesher_4","Flesher, 4","Lamp Lighting Time","gDGBD",13
"Flesher_4","Flesher, 4","Flying Down Squirrel Spur","gDGBD",15
"Flesher_4","Flesher, 4","Whistling Rufus","cGCEG",19
"Flesher_4","Flesher, 4","Late Last Night","gDGBD",21
"Flesher_4","Flesher, 4","Sally Ann","gDGBD",23
"Flesher_4","Flesher, 4","My Home Across the Blue Ridge Mountains","gDGBD",27
"Flesher_4","Flesher, 4","Needle Case","gCGCE",29
"Flesher_4","Flesher, 4","Fifty Miles of Elbow Room","gCGCE",31
"Flesher_4","Flesher, 4","You Ain’t Talking to Me","gCGBD",33
"Flesher_4","Flesher, 4","Sandy River Belle","gDGBD",35
"Flesher_4","Flesher, 4","Once I Had a Fortune","gDGBD",37
