"Book ID","Citation","Title","Tuning","Page"
"BobSolosko_1","Solosko, 2001","Calliope House","gCGCD",9
"BobSolosko_1","Solosko, 2001","Round the Horn","gDGBD",10
"BobSolosko_1","Solosko, 2001","Fair Jennys Jig","gCGCD",11
"BobSolosko_1","Solosko, 2001","Trip to Duro","gCGCD",12
"BobSolosko_1","Solosko, 2001","Dorset Four Hand Reel","gDGBD",14
"BobSolosko_1","Solosko, 2001","Morrisons Jig","gCGCD",15
"BobSolosko_1","Solosko, 2001","Cowboys Jig","gDGBD",16
"BobSolosko_1","Solosko, 2001","Phillibelula All the Way","gDGCD",17
"BobSolosko_1","Solosko, 2001","Johnny Don’t Get Drunk","gCGCD",18
"BobSolosko_1","Solosko, 2001","Scollays Reel","gDGBD",19
"BobSolosko_1","Solosko, 2001","Kerry Polka","aDGCD",20
"BobSolosko_1","Solosko, 2001","A Trip to Paris","gDGCD",21
"BobSolosko_1","Solosko, 2001","Hils of Glenurchie","gDGBD",22
"BobSolosko_1","Solosko, 2001","Far From Home","gDGBD",23
"BobSolosko_1","Solosko, 2001","Traditional Strathspey","gDGCD",24
"BobSolosko_1","Solosko, 2001","Irishmans Heart to the Ladies","gDGBD",25
"BobSolosko_1","Solosko, 2001","Come Dance and Sing","gCGCD",26
"BobSolosko_1","Solosko, 2001","All the Way to Galway","gCGCD",28
"BobSolosko_1","Solosko, 2001","Jessicas Polka","gDGBD",29
"BobSolosko_1","Solosko, 2001","Planxty George Brabazon","gDGBD",30
"BobSolosko_1","Solosko, 2001","Connaught-Mans Rambles","gCGCD",32
"BobSolosko_1","Solosko, 2001","Hughie Shortys Reel","gDGBD",33
"BobSolosko_1","Solosko, 2001","The Lassies of Dunse","gCGCD",34
"BobSolosko_1","Solosko, 2001","The Lads of Dunse","gCGCD",35
"BobSolosko_1","Solosko, 2001","Portsmouth","gDGBD",36
"BobSolosko_1","Solosko, 2001","The Drunken Piper","gDGCD",37
"BobSolosko_1","Solosko, 2001","Swinging on a Gate","gDGBD",38
"BobSolosko_1","Solosko, 2001","Farewell to Whiskey","gDGBD",39
"BobSolosko_1","Solosko, 2001","The Black Nag","gDGBD",40
"BobSolosko_1","Solosko, 2001","Off She Goes","gCGCD",41
"BobSolosko_1","Solosko, 2001","Tame Her When the Snaw Comes","gDGBD",42
"BobSolosko_1","Solosko, 2001","A Trip to Kilburn","aDGCD",43
"BobSolosko_1","Solosko, 2001","Rakes of Mallow","gDGBD",44
"BobSolosko_1","Solosko, 2001","The Rose in the Heather","gCGCD",45
"BobSolosko_1","Solosko, 2001","As the Sun Was Setting","gDGCD",46
"BobSolosko_2","Solosko, 2006","The Bag of Spuds","gDGBD",1
"BobSolosko_2","Solosko, 2006","The Banshee","gDGBD",2
"BobSolosko_2","Solosko, 2006","Bill Collins Jig","gCGCD",3
"BobSolosko_2","Solosko, 2006","Bobcat Shuffle","gDGCD",4
"BobSolosko_2","Solosko, 2006","Boys of Wexford","gDGBD",5
"BobSolosko_2","Solosko, 2006","Bus Stop Reel","gDGCD",6
"BobSolosko_2","Solosko, 2006","Briarpicker Brown","gCGCD",8
