"Citation","Title","Tuning","Page"
"RSB, Bonanza","Across The Blue Ridge Mountains","aDADE",
"RSB, Bonanza","Across The Blue Ridge Mountains","aEAC#E",
"RSB, Bonanza","All Young","aEAC#E",
"RSB, Bonanza","Angelina Baker - S. Foster","aEAC#E",
"RSB, Bonanza","Angeline The Baker","aDADE",
"RSB, Bonanza","Arkansas Traveler","aDADE",
"RSB, Bonanza","Avalon Quickstep","aDADE",
"RSB, Bonanza","Back Step Cindy - New","aDADE",
"RSB, Bonanza","Back Step Cindy - Old","aDADE",
"RSB, Bonanza","Barlow Knife","gDGBD",
"RSB, Bonanza","Barlow Knife","gDGDE",
"RSB, Bonanza","Bay Of Fundy","aDADE",
"RSB, Bonanza","Belle Of Lexington","aDADE",
"RSB, Bonanza","Betty Likens","aEADE",
"RSB, Bonanza","Big Eyed Rabbit","aEAC#E",
"RSB, Bonanza","Big Liza Jane","aDADE",
"RSB, Bonanza","Bill Cheatham","aEAC#E",
"RSB, Bonanza","Black Nag - Tune","aDADE",
"RSB, Bonanza","Black Nag - xSyncopation","aDADE",
"RSB, Bonanza","Boating Up Sandy","aEAC#E",
"RSB, Bonanza","Boatman","aEAC#E",
"RSB, Bonanza","Boil Them Cabbage Down","aDAC#E",
"RSB, Bonanza","Boil Them Cabbage Down","aDADE",
"RSB, Bonanza","Bonaparte's March","aEADE",
"RSB, Bonanza","Bonaparte's Retreat","aDADE",
"RSB, Bonanza","Booth Shot Lincoln","aEAC#E",
"RSB, Bonanza","Boys My Money's All Gone","aEAC#E",
"RSB, Bonanza","Bunch Of Roses","aDADE",
"RSB, Bonanza","Charlie","aEADE",
"RSB, Bonanza","Cherokee Shuffle   8","gDGBD",
"RSB, Bonanza","Cherokee Shuffle   8","gDGDE",
"RSB, Bonanza","Cherokee Shuffle 10","gDGBD",
"RSB, Bonanza","Cherokee Shuffle 10","gDGDE",
"RSB, Bonanza","Chicken Reel","aDADE",
"RSB, Bonanza","Childgrove","aDADE",
"RSB, Bonanza","Chilly Winds","aEAC#E",
"RSB, Bonanza","Chinquapin Hunting","aDADE",
"RSB, Bonanza","Chinquapin Hunting","aEAC#E",
"RSB, Bonanza","Cindy - Rockingham","aDADE",
"RSB, Bonanza","Cluck Old Hen","aEADE",
"RSB, Bonanza","Columbus Stockade Blues","gCGCD",
"RSB, Bonanza","Columbus Stockade Blues","gDGBD",
"RSB, Bonanza","Coo Coo Bird – C Ashley","aEADE",
"RSB, Bonanza","County Down March","aEADE",
"RSB, Bonanza","County Down Waltz","aEADE",
"RSB, Bonanza","Cowboy's Dream","aDADE",
"RSB, Bonanza","Cripple Creek","aEAC#E",
"RSB, Bonanza","Crockett's Favourite","aEAC#E",
"RSB, Bonanza","Crow Creek","aEAC#E",
"RSB, Bonanza","Devil's Dream","aDADE",
"RSB, Bonanza","Doctor Doctor","aDADD",
"RSB, Bonanza","Doctor Doctor","aDADE",
"RSB, Bonanza","Double File","aEAC#E",
