"Book ID","Citation","Title","Tuning","Page",
"Stephen_1","Parker, 2010","Arkansas Traveler","aDADE","A-17"
"Stephen_1","Parker, 2010","Bile Them Cabbage Down","gDGBD","A-16"
"Stephen_1","Parker, 2010","Black Hills Waltz","aEAC#E","A-23"
"Stephen_1","Parker, 2010","Cowboy's Waltz","aDADE","A-22"
"Stephen_1","Parker, 2010","Darling Nellie Gray","aEAC#E","A-32"
"Stephen_1","Parker, 2010","Folding Down the Sheets","aDADE","A-18"
"Stephen_1","Parker, 2010","Groundhog","gDGBD","A-16"
"Stephen_1","Parker, 2010","I'll Fly Away","aDADE","A-30"
"Stephen_1","Parker, 2010","Jaybird","aDADE","A-18"
"Stephen_1","Parker, 2010","John Brown's Dream‐ver1","aEAC#E","A-21"
"Stephen_1","Parker, 2010","L & N Rag","gCGCD","A-26"
"Stephen_1","Parker, 2010","Peacock Rag","aDADE","A-24"
"Stephen_1","Parker, 2010","Peeler Creek Waltz","gDGBD","A-24"
"Stephen_1","Parker, 2010","Pig Ankles Rag","aDADE","A-25"
"Stephen_1","Parker, 2010","Soldier's Joy","aDADE","A-17"
"Stephen_1","Parker, 2010","Sweet Sunny South","aEAC#E","A-19"
"Stephen_1","Parker, 2010","Train 45 (Reuben)","aEAC#E","A-20"
"Stephen_1","Parker, 2010","Walk Along John to Kansas","aEAC#E","A-19"
