"Book ID","Citation","Title","Tuning","Page",
"Stephen_1","Parker, 2010","Abe's Retreat","aEAC#E",10
"Stephen_1","Parker, 2010","Altamont","gCGCD",125
"Stephen_1","Parker, 2010","Angeline the Baker","aDADE",80
"Stephen_1","Parker, 2010","Arkansas Traveler","aDADE",81
"Stephen_1","Parker, 2010","Backstep Cindy","aDADE",82
"Stephen_1","Parker, 2010","Barlow Knife","gDGDE",77
"Stephen_1","Parker, 2010","Belle of Lexington","aDADE",83
"Stephen_1","Parker, 2010","Benton's Dream","aEAC#E",10
"Stephen_1","Parker, 2010","Big Footed Man In a Sandy Lot","gDGBD",60
"Stephen_1","Parker, 2010","Big Hoedown","aEAC#E",11
"Stephen_1","Parker, 2010","Big Scioty","gDGBD",60
"Stephen_1","Parker, 2010","Big‐Eyed Rabbit","aEAC#E",12
"Stephen_1","Parker, 2010","Bile Them Cabbage Down","gDGBD",61
"Stephen_1","Parker, 2010","Bill Cheatham","aEAC#E",13
"Stephen_1","Parker, 2010","Billy In the Low Ground","gCGCD",126
"Stephen_1","Parker, 2010","Black Eyed Susie","aDADE",80
"Stephen_1","Parker, 2010","Boating Up the Sandy","aDADE",83
"Stephen_1","Parker, 2010","Boatman","aEAC#E",14
"Stephen_1","Parker, 2010","Booth Shot Lincoln","aEAC#E",15
"Stephen_1","Parker, 2010","Breaking Up Christmas","aEAC#E",16
"Stephen_1","Parker, 2010","Briar Picker Brown","aDADE",84
"Stephen_1","Parker, 2010","Brushy Run","gDGBD",62
"Stephen_1","Parker, 2010","Cabin Creek","gDGBD",63
"Stephen_1","Parker, 2010","Cherokee Shuffle","aEAC#E",17
"Stephen_1","Parker, 2010","Chinese Breakdown","aDADE",85
"Stephen_1","Parker, 2010","Chinquapin Hunting","aEAC#E",18
"Stephen_1","Parker, 2010","Cider Mill","aDADE",86
"Stephen_1","Parker, 2010","Cluck Old Hen","aEADE",51
"Stephen_1","Parker, 2010","Cold Frosty Morning","aEADE",52
"Stephen_1","Parker, 2010","Colored Aristocracy","gDGBD",64
"Stephen_1","Parker, 2010","The Coo Coo","aEADE",53
"Stephen_1","Parker, 2010","Cotton‐Eyed Joe","aEAC#E",12
"Stephen_1","Parker, 2010","Cotton‐Eyed Joe","gDGBD",65
"Stephen_1","Parker, 2010","Cricket on the Hearth","aDADE",87
"Stephen_1","Parker, 2010","Cripple Creek","aEAC#E",19
"Stephen_1","Parker, 2010","Cumberland Gap","aDADE",88
"Stephen_1","Parker, 2010","Cumberland Gap","gDGBD",61
"Stephen_1","Parker, 2010","Dance All Night With a Bottle ...","gDGBD",66
"Stephen_1","Parker, 2010","Dinah","aEAC#E",20
"Stephen_1","Parker, 2010","Dry & Dusty","aDADE",87
"Stephen_1","Parker, 2010","Duck River","aDADE",89
"Stephen_1","Parker, 2010","Ducks On the Millpond","aDADE",86
"Stephen_1","Parker, 2010","Ducks On the Pond","aEADE",54
"Stephen_1","Parker, 2010","Durang's Hornpipe","aDADE",90
"Stephen_1","Parker, 2010","Dusty Miller","aEAC#E",20
"Stephen_1","Parker, 2010","Ebenezer","gDGDE",78
"Stephen_1","Parker, 2010","Eighth of January","aDADE",90
"Stephen_1","Parker, 2010","Elzic's Farewell","aEADE",55
"Stephen_1","Parker, 2010","Fall on My Knees","aDADE",91
"Stephen_1","Parker, 2010","Falls of Richmond","aEADE",56
"Stephen_1","Parker, 2010","Fire On the Mountain","aEAC#E",21
"Stephen_1","Parker, 2010","Fisher's Hornpipe","aDADE",92
"Stephen_1","Parker, 2010","Five Miles to Town","aDADE",93
"Stephen_1","Parker, 2010","Forked Deer","aDADE",94
"Stephen_1","Parker, 2010","Fortune‐ver1,‐ver2","aDADE",96,97
"Stephen_1","Parker, 2010","Give the Fiddler a Dram","gDGBD",67
"Stephen_1","Parker, 2010","Golden Slippers","aDADE",95
"Stephen_1","Parker, 2010","Grasshopper Sitting ...","aDADE",98
"Stephen_1","Parker, 2010","Greasy Coat","aEAC#E",22
"Stephen_1","Parker, 2010","Greasy String","aEAC#E",23
"Stephen_1","Parker, 2010","Great Big Taters In Sandy Land","aEAC#E",24
"Stephen_1","Parker, 2010","Green Willis","aDADE",99
"Stephen_1","Parker, 2010","Grey Eagle","aEAC#E",25
"Stephen_1","Parker, 2010","Growling Old Man,Grumbling ...","aEADE",57
"Stephen_1","Parker, 2010","Grubb Springs","aEAC#E",23
"Stephen_1","Parker, 2010","Half Past Four","aEAC#E",26
"Stephen_1","Parker, 2010","Hangman's Reel","aEAC#E",27
"Stephen_1","Parker, 2010","Happy Hollow","gDGBD",67
"Stephen_1","Parker, 2010","Hawks & Eagles","aDADE",99
"Stephen_1","Parker, 2010","Hell Amongst the Yearlings","aDADE",100
"Stephen_1","Parker, 2010","Hell On the Nine Mile","aDADE",89
"Stephen_1","Parker, 2010","I've Got No Honey Babe Now","gDGBD",65
"Stephen_1","Parker, 2010","Indian Squaw","gDGBD",68
"Stephen_1","Parker, 2010","Jeff Sturgeon","aEAC#E",28
"Stephen_1","Parker, 2010","Jenny On the Railroad","aEAC#E",29
"Stephen_1","Parker, 2010","John Brown's Dream‐ver1","aEAC#E",30
"Stephen_1","Parker, 2010","John Henry","aEAC#E",31
"Stephen_1","Parker, 2010","John Sharp's Tune #1","aEAC#E",32
"Stephen_1","Parker, 2010","John Sharp's Tune #2","aEAC#E",32
"Stephen_1","Parker, 2010","Johnson Boys","aDADE",101
"Stephen_1","Parker, 2010","Julie Ann Johnson","aDADE",98
"Stephen_1","Parker, 2010","June Apple","aEAC#E",33
"Stephen_1","Parker, 2010","Katie Hill","gDGBD",69
"Stephen_1","Parker, 2010","Katy Did","gCGCD",126
"Stephen_1","Parker, 2010","Kitchen Girl","aEADE",54
"Stephen_1","Parker, 2010","La Bastringue","aDADE",102
"Stephen_1","Parker, 2010","Last Chance","gDGDE",78
"Stephen_1","Parker, 2010","Let Me Fall","aEAC#E",34
"Stephen_1","Parker, 2010","Liberty","aDADE",101
"Stephen_1","Parker, 2010","Little Billy Wilson","aEAC#E",35
"Stephen_1","Parker, 2010","Little Dutch Girl","aEAC#E",25
"Stephen_1","Parker, 2010","Little Liza Jane","aEAC#E",36
"Stephen_1","Parker, 2010","Little Sadie","aEADE",53
"Stephen_1","Parker, 2010","Liza Jane","aDADE",103
"Stephen_1","Parker, 2010","Lost Girl","gDGBD",70
"Stephen_1","Parker, 2010","Lost Indian","aEAC#E",37
"Stephen_1","Parker, 2010","Lost Indian","aDADE",104
"Stephen_1","Parker, 2010","Martha Campbell","aDADE",105
"Stephen_1","Parker, 2010","Meriweather","gDGBD",71
"Stephen_1","Parker, 2010","Mike In the Wilderness","aEAC#E",18
"Stephen_1","Parker, 2010","Miss McLeod's Reel","gDGBD",72
"Stephen_1","Parker, 2010","Mississippi Sawyer","aDADE",106
"Stephen_1","Parker, 2010","Nancy Ann","aEAC#E",26
"Stephen_1","Parker, 2010","Nancy Rowland","gDGBD",73
"Stephen_1","Parker, 2010","Needle Case","aDADE",107
"Stephen_1","Parker, 2010","New Five Cents","aDADE",108
"Stephen_1","Parker, 2010","North Carolina Breakdown","gDGBD",73
"Stephen_1","Parker, 2010","Old Bunch Of Keys","aEAC#E",19
"Stephen_1","Parker, 2010","Old Joe Clark","aEAC#E",30
"Stephen_1","Parker, 2010","Old Melinda","gCGCD",127
"Stephen_1","Parker, 2010","Old Molly Hare","aDADE",106
"Stephen_1","Parker, 2010","Old Mother Flanagan","aEAC#E",38
"Stephen_1","Parker, 2010","Ora Lee","gDGBD",74
"Stephen_1","Parker, 2010","Over the Waterfall","aDADE",107
"Stephen_1","Parker, 2010","Paddy On the Handcar","aEAC#E",39
"Stephen_1","Parker, 2010","Pateroller","aEADE",58
"Stephen_1","Parker, 2010","Pike's Peak","gCGCD",128
"Stephen_1","Parker, 2010","Policeman","aEAC#E",34
"Stephen_1","Parker, 2010","Polly Put the Kettle On","aDADE",91
"Stephen_1","Parker, 2010","Ragtime Annie","aDADE",110,111
"Stephen_1","Parker, 2010","Rebel Raid","aEAC#E",40
"Stephen_1","Parker, 2010","Red Haired Boy","aEAC#E",41
"Stephen_1","Parker, 2010","Rickett's Hornpipe","aDADE",111
"Stephen_1","Parker, 2010","Robinson County","aDADE",109
"Stephen_1","Parker, 2010","Rochester Schottische","aDADE",92
"Stephen_1","Parker, 2010","Rock the Cradle Joe","aDADE",105
"Stephen_1","Parker, 2010","Rockingham Cindy","aDADE",112
"Stephen_1","Parker, 2010","Rocky Mountain Goat","aDADE",113
