"Book ID","Citation","Title","Tuning","Page"
"DickKimmel_1","Kimmel, 2000","Fishing Creek Blues","eCGCD",9
"DickKimmel_1","Kimmel, 2000","Double File","gDGBD",11
"DickKimmel_1","Kimmel, 2000","Turkey in the Straw","gCGCD",13
"DickKimmel_1","Kimmel, 2000","Little Betty Brown","gCGCD",15
"DickKimmel_1","Kimmel, 2000","Pretty Little Dog","gDGCD",17
"DickKimmel_1","Kimmel, 2000","Sullivans Hollow","gCGCD",19
"DickKimmel_1","Kimmel, 2000","Waterbound","gCGCD",21
"DickKimmel_1","Kimmel, 2000","Chattanooga","gDGBD",23
"DickKimmel_1","Kimmel, 2000","Rickett’s Hornpipe","gCGCD",25
"DickKimmel_1","Kimmel, 2000","Fishers Hornpipe","gCGCD",27
"DickKimmel_1","Kimmel, 2000","Staten Island Hornpipe","gCGCD",29
"DickKimmel_1","Kimmel, 2000","Rufas Rastus","gCGCD",31
"DickKimmel_1","Kimmel, 2000","Just Walkin’ and Talkin’","gCGCD",33
"DickKimmel_1","Kimmel, 2000","West Fork Gals","gCGCD",35
"DickKimmel_1","Kimmel, 2000","Greenback Dolly O","gDGBD",37
"DickKimmel_1","Kimmel, 2000","Blue Ribbon Waltz","gCGCD",39
"DickKimmel_1","Kimmel, 2000","Satan Your Kingdom Must Come Down","gCGCD",41
"DickKimmel_1","Kimmel, 2000","Ian Charles","gCGCD",43
"DickKimmel_1","Kimmel, 2000","Dickies Discovery","gCGCD",45
