"Book ID","Citation","Title","Tuning","Page",
"RD_1","Lunceford, 2001","Jenny Get Around","aEABE",12
"RD_1","Lunceford, 2001","Sandy Boys","aEAC#E",13
"RD_1","Lunceford, 2001","Soldier's Joy","aDADE",14
"RD_1","Lunceford, 2001","Sandy River Belle","gDGDE",15
"RD_1","Lunceford, 2001","June Apple","aEAC#E",16
"RD_1","Lunceford, 2001","Rockin' The Cradle","aDADE",17
"RD_1","Lunceford, 2001","Old Mother Logo","aDADE",18
"RD_1","Lunceford, 2001","Polly Put The Kettle On","gCGCD",19
"RD_1","Lunceford, 2001","...Poor White Man","g#EG#BE",20
"RD_1","Lunceford, 2001","Chilly Winds","aAAC#E",21
"RD_1","Lunceford, 2001","Rocky Mountains","aDADE",22
"RD_1","Lunceford, 2001","Sally in the Garden Sifting Sand","aEADE",23
"RD_1","Lunceford, 2001","Bill Driver's Tune","gCGCD",24
"RD_1","Lunceford, 2001","Paddy Roller","aEADE",25
"RD_1","Lunceford, 2001","Last Chance","gDGDE",26
"RD_1","Lunceford, 2001","Wolves A-Howlin'","aEAC#E",27
"RD_1","Lunceford, 2001","Bonaparte Crossing the Rhine","aDADE",28
"RD_1","Lunceford, 2001","Peach Bottom Creek","g#EG#BE",30
"RD_1","Lunceford, 2001","Untitled Tune","gEADE",31
"RD_1","Lunceford, 2001","Shavin' a Dead Man","g#EBEB",32
"RD_1","Lunceford, 2001","Half-Shaved","f#DADE",33
"RD_2","Lunceford, 2005","Green Corn","gDGBD",28
"RD_2","Lunceford, 2005","Sandy Boy","gDGBD",29
"RD_2","Lunceford, 2005","Alabama Joe","gCGBD",30
"RD_2","Lunceford, 2005","Jenny Get Your Hoecake Done","gCGBD",32
"RD_2","Lunceford, 2005","Where You Goin' Rabbit","gCGCD",33
"RD_2","Lunceford, 2005","Rye Straw","gCGCD",34
"RD_2","Lunceford, 2005","The Battle of Waterloo","gDGCD",36
"RD_2","Lunceford, 2005","Nelly Gray","gDGBD",38
"RD_2","Lunceford, 2005","When You and I Were Young, Maggie","gDGBD",40
"RD_2","Lunceford, 2005","Jim Along Josie","gCGCD",42
"RD_2","Lunceford, 2005","Polly Put the Kettle On","gCGCD",43
"RD_2","Lunceford, 2005","Old Stepstone","gCGCD",44
"RD_2","Lunceford, 2005","Run Rabbit Run","gDGBD",46
"RD_2","Lunceford, 2005","John Bowlin's Walkaround","gDGBD",47
"RD_2","Lunceford, 2005","Cornstalk Fiddle and a Shoestring Bow","gDGBD",48
"RD_2","Lunceford, 2005","Old Jim Wren","gCGCC",49
"RD_2","Lunceford, 2005","Cripple Creek","gDGBD",50
"RD_2","Lunceford, 2005","Sourwood Mountain","gDGBD",51
"RD_2","Lunceford, 2005","West Virginia Girls","gDGCD",52
"RD_2","Lunceford, 2005","Last Chance","fCFCD",53
"RD_2","Lunceford, 2005","Charleston Girls","gDGBD",54
"RD_2","Lunceford, 2005","Grapevine Twist","gDGBD",55
"RD_2","Lunceford, 2005","Greensleeves","gDGCD",56
"RD_2","Lunceford, 2005","Bee Gum Reel","gCGBD",58
"RD_2","Lunceford, 2005","Old Jimmy Sutton","gCGBD",59
"RD_2","Lunceford, 2005","Unsworth's New Jig","gDGBD",60
"RD_2","Lunceford, 2005","There Was An Old Soldier and He Had a Wooden Leg","gDGBD",62
"RD_2","Lunceford, 2005","The Yellow Rose of Texas","gCGCD",64
"RD_2","Lunceford, 2005","Dixie","gCGCD",66
"RD_2","Lunceford, 2005","Over the Mountain","fDGCD",68
"RD_2","Lunceford, 2005","Needlecase","gCGCD",69
"RD_2","Lunceford, 2005","Liberty","gCGCD",70
"RD_2","Lunceford, 2005","Lonesome John","gDGCD",72
"RD_2","Lunceford, 2005","Texas","gDGCD",74
"RD_2","Lunceford, 2005","The Minstrel Boy","gDGBD",76
