"Citation","Title","Tuning","Page"
"Joad, Web","Angeline the Baker","gCGCD",
"Joad, Web","Arkansas Traveller","gCGCD",
"Joad, Web","Arkansas Traveller","gCGCD",
"Joad, Web","Bill Cheathum","gDGBD",
"Joad, Web","Boatman","gDGBD",
"Joad, Web","Bonaparte Crossing the Rhine","gCGCD",
"Joad, Web","Bonaparte's Retreat","gCGCD",
"Joad, Web","Bull at the Wagon","gDGBD",
"Joad, Web","Cottage in the Grove","gDGCD",
"Joad, Web","Clinch Mountain Backstep","gDGCD",
"Joad, Web","Cripple Creek","gDGBD",
"Joad, Web","Dance All Night","gDGBD",
"Joad, Web","Dennis Murphy's Polka","gCGCD",
"Joad, Web","Flop-Eared Mule","gDGBD",
"Joad, Web","Flop-Eared Mule","gDGBD",
"Joad, Web","Frosty Morning","gDGCD",
"Joad, Web","Frosty Morning","gDGCD",
"Joad, Web","Get Along Home Cindy","gCGCD",
"Joad, Web","Jaybird","gCGCD",
"Joad, Web","John Hardy","gDGBD",
"Joad, Web","June Apple","gDGBD",
"Joad, Web","Liberty","gCGCD",
"Joad, Web","Lost Indian",
"Joad, Web","Mississippi Sawyer",
"Joad, Web","Needle Case","gCGCD",
"Joad, Web","Old Joe Clark","gDGBD",
"Joad, Web","Old Molly Hare","gCGCD",
"Joad, Web","Old Mother Flanagan","gDGBD",
"Joad, Web","Pretty Little Dog","gDGCD",
"Joad, Web","Rock the Cradle Joe",
"Joad, Web","Sally in the Gardens","gCGCD",
"Joad, Web","Sandy Boys","gDGBD",
"Joad, Web","Sandy River Belle in G",
"Joad, Web","Seneca Square Dance","gDGBD",
"Joad, Web","Shady Grove","gDGCD",
"Joad, Web","Shady Grove","gDGCD",
"Joad, Web","Soldier's Joy","gCGCD",
"Joad, Web","Valley Forge","gCGCD",
"Joad, Web","Waiting for Nancy",
"Joad, Web","Waterbound","gCGCD",
"Joad, Web","Waterbound","gDGBD",
"Joad, Web","Wedding Dress","gDGCD",
"Joad, Web","Western Country","gCGCD",
