"Citation","Title","Tuning","Page"
"LyleK, Web","Gray Eagle",eC#EAE,
"LyleK, Web","Bosco Stomp",aEAC#E,
"LyleK, Web","Cincinnati Quick March",aEAC#E,
"LyleK, Web","Bobbing for Eels",aEAC#E,
"LyleK, Web","Bob Tailed Mule",aEAC#E,
"LyleK, Web","Chinquapin Hunting",aEAC#E,
"LyleK, Web","Dew Drop Hornpipe",aEAC#E,
"LyleK, Web","Fletcher's Delight",aEAC#E,
"LyleK, Web","Greenback Dolly-O",aEAC#E,
"LyleK, Web","Grigsby’s Hornpipe",aEAC#E,
"LyleK, Web","Grub Springs",aEAC#E,
"LyleK, Web","Horse and Buggy-O",aEAC#E,
"LyleK, Web","Jimmy Shanks",aEAC#E,
"LyleK, Web","Lamplighter’s Hornpipe",aEAC#E,
"LyleK, Web","Lardner’s Reel",aEAC#E,
"LyleK, Web","Little Dutch Girl",aEAC#E,
"LyleK, Web","Little Whiskey",aEAC#E,
"LyleK, Web","Lost Indian",aEAC#E,
"LyleK, Web","Parody",aEAC#E,
"LyleK, Web","Spotted Pony, The Other",aEAC#E,
"LyleK, Web","Stillhouse Branch",aEAC#E,
"LyleK, Web","Walk Along John to Kansas",aEAC#E,
"LyleK, Web","A modal ",aEADE,
"LyleK, Web","All Young",aEAC#E,
"LyleK, Web","Black Jack Grove",aEAC#E,
"LyleK, Web","Chicago Reel (Congress Reel first)",aEAC#E,
"LyleK, Web","Elzic's Farewell",aEAC#E,
"LyleK, Web","Feather Bed",aEAC#E,
"LyleK, Web","Fine Times at Our House",aEAC#E,
"LyleK, Web","Glory in the Meeting House",aEAC#E,
"LyleK, Web","Highlander’s Farewell",aEAC#E,
"LyleK, Web","Jeff Sturgeon",aEAC#E,
"LyleK, Web","Lonesome John",aEAC#E,
"LyleK, Web","Paddy on the Turnpike",aEAC#E,
"LyleK, Web","Red Brick House in Georgia Town",aEAC#E,
"LyleK, Web","Ways of the World",aEAC#E,
"LyleK, Web","B-flat ",fA#FA#D,
"LyleK, Web","Democratic Rage Hornpipe",aEAC#E,
"LyleK, Web","Done Gone",aEAC#E,
"LyleK, Web","Geese Honking",aEAC#E,
"LyleK, Web","Hopkin’s Hornpipe",aEAC#E,
"LyleK, Web","Oklahoma Red Bird",aEAC#E,
"LyleK, Web","President Garfield’s Hornpipe",aEAC#E,
"LyleK, Web","President Grant’s Hornpipe",aEAC#E,
"LyleK, Web","Oh My Little Darlin’",f#F#BD#F#,
"LyleK, Web","Don’t Drink Nothin’ But Corn",gCGCD,
"LyleK, Web","East Tennessee Blues",gCGCD,
"LyleK, Web","Wes Muir’s Tune",gCGCD,
"LyleK, Web","Boston Boys",gCGCE,
"LyleK, Web","Catlettsburg",gCGCE,
"LyleK, Web","Charleston No. 1",gCGCE,
"LyleK, Web","Charleston No. 2",gCGCE,
"LyleK, Web","Cherry River Rag",gCGCE,
"LyleK, Web","Chickens Don’t Roost too High",gCGCE,
"LyleK, Web","Cincinnati Rag",gCGCE,
"LyleK, Web","Gilda Roy",gCGCE,
