"Book ID","Citation","Title","Page","Tuning"
"MaryZ_1","Cox, 2001","Blackberry Blossom",1,"gDGBD"
"MaryZ_1","Cox, 2001","Duck River",3,"aDADE"
"MaryZ_1","Cox, 2001","Greasy Coat",5,"gDGCD"
"MaryZ_1","Cox, 2001","Hunch Back Liza ( Liza Jane )",7,"dADF#A"
"MaryZ_1","Cox, 2001","Icy Mountain",9,"gDGCD"
"MaryZ_1","Cox, 2001","Julie Ann Johnson",11,"aDADE"
"MaryZ_1","Cox, 2001","Last Chance",13,"fDFCD"
"MaryZ_1","Cox, 2001","Old Tobacco Hills",15,"dADF#A"
"MaryZ_1","Cox, 2001","Old Yeller Dog",17,"aDADE"
"MaryZ_1","Cox, 2001","Pig Ankle Rag",19,"aDADE"
"MaryZ_1","Cox, 2001","Rachel ( Rachael )",22,"aDADE"
"MaryZ_1","Cox, 2001","Seven Hills",24,"fDFCD"
"MaryZ_1","Cox, 2001","Snowdrop",27,"gCGCE"
"MaryZ_1","Cox, 2001","Southwind",30,"aDADE"
"MaryZ_1","Cox, 2001","Squirrel Heads And Gravy",33,"gDGBD"
"MaryZ_1","Cox, 2001","Walkin` That Pretty Girl Home",35,"gDGBD"
"MaryZ_1","Cox, 2001","Westphalia Waltz",37,"gDGBD"
"MaryZ_2","Cox, 2006","Suwannee River",1,"c#AEAB"
"MaryZ_2","Cox, 2006","We three Kings",4,"gCGCD"
"MaryZ_2","Cox, 2006","Dinah",7,"c#AEAB"
"MaryZ_2","Cox, 2006","Shepherd's Wife Waltz",9,"gDGBD"
"MaryZ_2","Cox, 2006","Rockin` In a Weary Land",12,"gCGCD#"
"MaryZ_2","Cox, 2006","Sweet Sunny South",14,"gCGCD"
"MaryZ_2","Cox, 2006","Song Of the Chanter",16,"gCGCD"
"MaryZ_2","Cox, 2006","Fly Around My pretty Little Miss",18,"aDADE"
"MaryZ_2","Cox, 2006","Winder Slide",22,"aDADE"
"MaryZ_2","Cox, 2006","Wish I was A mole In the Ground",24,"c#AEAB"
"MaryZ_2","Cox, 2006","John Stinson's # 2",26,"gCGCD"
"MaryZ_2","Cox, 2006","Hangman's Reel",28,"c#AEAB"
"MaryZ_2","Cox, 2006","Big Scioty",32,"c#AEAB"
"MaryZ_2","Cox, 2006","Goin` Back To cairo",34,"aDADE"
"MaryZ_2","Cox, 2006","Light The Torch, Jeannette Isabella",36,"gCGCD"
"MaryZ_2","Cox, 2006","Good Christian Men Rejoice",38,"gCGCD"
"MaryZ_3","Cox, 2008","Chinquipin",1,"gDGBD"
"MaryZ_3","Cox, 2008","Cluck Old Hen",3,"gDGCD"
"MaryZ_3","Cox, 2008","Coo Coo's Nest",6,"ADADE"
"MaryZ_3","Cox, 2008","Frankie's Blues",9,"dDAF#A or gDGBD"
"MaryZ_3","Cox, 2008","Hail Agin The Barn Door",11,"c#AEAB"
"MaryZ_3","Cox, 2008","Loch Lavin Castle",14,"aEADE"
"MaryZ_3","Cox, 2008","Peach Bottom Creek",18,"f#DF#AD"
"MaryZ_3","Cox, 2008","Ponce De leon",21,"gCGCD#"
"MaryZ_3","Cox, 2008","Ragtime Annie",24,"aDADE"
"MaryZ_3","Cox, 2008","Shenandoah Falls",27,"c#AEAB"
"MaryZ_3","Cox, 2008","Spanish Fandango",30,"aDADE"
"MaryZ_3","Cox, 2008","Turkey in the Straw",33,"gCGCE"
"MaryZ_3","Cox, 2008","Waterbound",36,"c#AEAB"
"MaryZ_3","Cox, 2008","Wind That Shakes The Barley",39,"aDADE"
"MaryZ_3","Cox, 2008","Yearlings In the Cane Break",41,"c#AEAB"
"MaryZ_3","Cox, 2008","Yellow Rose Of texas",43,"aDADE"
"MaryZ_4","Cox, 2004","All Through The Night",2,"gCGCD"
"MaryZ_4","Cox, 2004","Andrew Jackson, Go back Home",3,"dADGA"
"MaryZ_4","Cox, 2004","Angeline",5,"gCGCD"
"MaryZ_4","Cox, 2004","Cock-A-Doodle-Do",7,"gCGCE"
"MaryZ_4","Cox, 2004","Golden Slippers",9,"gCGCD"
"MaryZ_4","Cox, 2004","Hunchback Whiskey",13,"dADF#A"
"MaryZ_4","Cox, 2004","Old Molly Hare",15,"gCGCD"
"MaryZ_4","Cox, 2004","Old Town Band",17,"gDGBD"
"MaryZ_4","Cox, 2004","Pikes Peak",21,"gCGCE"
"MaryZ_4","Cox, 2004","Sally In the Garden",23,"gDACD"
"MaryZ_4","Cox, 2004","Sandy Boys",27,"gDGBD"
"MaryZ_4","Cox, 2004","Snake Charmer's Daughter",29,"gCGCE"
"MaryZ_4","Cox, 2004","Soldiers Joy",31,"gCGCD"
"MaryZ_4","Cox, 2004","Swannanoa Tunnel",33,"gCGCD"
"MaryZ_4","Cox, 2004","Wayfaring Stranger",37,"gDGCD"
"MaryZ_5","Cox, 1999","Bonaparte's Retreat",1,"aDADE"
"MaryZ_5","Cox, 1999","Cherokee Shuffle",5,"aEAF#E"
"MaryZ_5","Cox, 1999","Cindy",7,"aDADE"
"MaryZ_5","Cox, 1999","Dixie",9,"aDADE"
"MaryZ_5","Cox, 1999","Dunsmore Lasses",11,"gDGBD"
"MaryZ_5","Cox, 1999","Elzic's Farewell",15,"aEADE"
"MaryZ_5","Cox, 1999","Johnson Boys",19,"aDADE"
"MaryZ_5","Cox, 1999","Little Black Dog Gone Trottin` Down The Road",21,"aDADE"
"MaryZ_5","Cox, 1999","Napoleon Crossing The Rhine",23,"aDADE"
"MaryZ_5","Cox, 1999","Pigtown Fling",27,"aEADE"
"MaryZ_5","Cox, 1999","Sally Ann",29,"aDADE"
"MaryZ_5","Cox, 1999","Sandy River Belle",31,"gDGBD"
"MaryZ_5","Cox, 1999","Sheebeg Agus Sheemore",33,"aDADE"
"MaryZ_5","Cox, 1999","Sugar Hill",37,"aDADE"
