"Book ID","Citation","Title","Tuning","Page"
"Perlman_6","Perlman, 2002","Mole in the Ground","gDGBD",8
"Perlman_6","Perlman, 2002","Ground Hog","gDGBD",8
"Perlman_6","Perlman, 2002","Grandfathers Clock","gDGBD",9
"Perlman_6","Perlman, 2002","Girl I left Behind Me","gDGBD",10
"Perlman_6","Perlman, 2002","Cherokee Shuffle","gDGBD",11
"Perlman_6","Perlman, 2002","Sherman’s March","gCGCD",12
"Perlman_6","Perlman, 2002","The Foggy Dew","gDGCD",13
"Perlman_6","Perlman, 2002","Cluck Old Hen","gDGCD",17
"Perlman_6","Perlman, 2002","Sally in the Garden","gCGCD",18
"Perlman_6","Perlman, 2002","Yellow Rose of  Texas","gCGCD",18
"Perlman_6","Perlman, 2002","Old Molly Hare","gCGCD",19
"Perlman_6","Perlman, 2002","Sandy River Belle","gDGBD",19
"Perlman_6","Perlman, 2002","Sallys in the Garden Sifting Sand","gDGBD",20
"Perlman_6","Perlman, 2002","Magpie","fCFCD",21
"Perlman_6","Perlman, 2002","Rocky Mountain Goat","gCGCD",22
"Perlman_6","Perlman, 2002","In the Bright Sunny South","gDGCD",25
"Perlman_6","Perlman, 2002","Golden Slippers","gCGCD",26
"Perlman_6","Perlman, 2002","Arkansas Traveller","gCGCD",26
"Perlman_6","Perlman, 2002","June Apple","gDGBD",27
"Perlman_6","Perlman, 2002","Other Side of Jordan","gCGCD",28
"Perlman_6","Perlman, 2002","Richmond Cotillion","gCGCD",29
"Perlman_6","Perlman, 2002","Dennis Murphys Polka","gDGBD",33
"Perlman_6","Perlman, 2002","Ricketts Hornpipe","gCGCD",33
"Perlman_6","Perlman, 2002","Harvest Home Hornpipe","gCGCD",34
"Perlman_6","Perlman, 2002","Drowsy Maggie","gDGBD",35
"Perlman_6","Perlman, 2002","Kesh Jig","gDGBD",35
"Perlman_6","Perlman, 2002","Kid on the Mountain","gCGCD",36
"Perlman_6","Perlman, 2002","O’Keefe’s Slide","gDGCD",37
"Perlman_6","Perlman, 2002","Buffalo Gals","gDGBD",41
"Perlman_6","Perlman, 2002","Rochester Schottische","gCGCD",42
"Perlman_6","Perlman, 2002","Mississippi Sawyer","gCGCD",42
"Perlman_6","Perlman, 2002","Frost is All Over","gCGCD",43
"Perlman_6","Perlman, 2002","Over the Waterfall","gCGCD",43
"Perlman_6","Perlman, 2002","Blackberry Blossom","gDGBD",44
"Perlman_6","Perlman, 2002","Greenfields of America","gDGBD",45
"Perlman_6","Perlman, 2002","St Annes Reel","gCGCD",49
"Perlman_6","Perlman, 2002","Merrily Kiss the Quaker","gDGBD",49
"Perlman_6","Perlman, 2002","Boys of the Lough","gCGCD",50
"Perlman_6","Perlman, 2002","Black Mountain Rag","gCGCD",51
"Perlman_6","Perlman, 2002","Madame Bonaparte","gDGBD",52
"Perlman_6","Perlman, 2002","O’Carolans Concerto","gCGCD",53
