"Citation","Title","Tuning","Page",
"RSB, Web","Across The Blue Ridge Mountains","aDADE",
"RSB, Web","Across The Blue Ridge Mountains","aEAC#E",
"RSB, Web","Angelina Baker","aEAC#E",
"RSB, Web","Angeline The Baker","aDADE",
"RSB, Web","Barlow Knife","gDGBD",
"RSB, Web","Barlow Knife","gDGDE",
"RSB, Web","Big Lisa Jane","aDADE",
"RSB, Web","Boating Up Sandy","aEAC#E",
"RSB, Web","Boil Them Cabbage Down","aDADE",
"RSB, Web","Boil Them Cabbage Down","aEAC#E",
"RSB, Web","Bonaparte's March","aEADE",
"RSB, Web","Columbus Stockade Blues","gCGCD",
"RSB, Web","Columbus Stockade Blues","gDGBD",
"RSB, Web","Cripple Creek","aEAC#E",
"RSB, Web","Ducks On The Millpond","aDADE",
"RSB, Web","Fisher's Hornpipe","aDADE",
"RSB, Web","Flying Indian","gDGBD",
"RSB, Web","Flying Indian","gDGDE",
"RSB, Web","Frosty Morn","aEADE",
"RSB, Web","Goin' Across The Sea","aDADE",
"RSB, Web","Golden Slippers","aDADE",
"RSB, Web","Goodbye Girls I'm Going To Boston","aEAC#E",
"RSB, Web","Greasy Coat","aEAC#E",
"RSB, Web","Jaw Bone","aEAC#E",
"RSB, Web","Jesse James","aDADE",
"RSB, Web","Jesse James","gDGBD",
"RSB, Web","Julie Anne Johnson","aDADE",
"RSB, Web","June Apple","aEAC#E",
"RSB, Web","Keep On Truckin' Mama","gDGBD",
"RSB, Web","Keep On Truckin' Mama","gDGBD",
"RSB, Web","Leather Britches","gDGBD",
"RSB, Web","Leather Britches","gDGDE",
"RSB, Web","Lisa Jane","aEAC#E",
"RSB, Web","Little Maggie","aEAC#E",
"RSB, Web","Muskrat   (solo)","aDADD",
"RSB, Web","Muskrat   (string band)","aDADD",
"RSB, Web","Nonesuch","aDADE",
"RSB, Web","Off To California","gDGBD",
"RSB, Web","Off To California","gDGDE",
"RSB, Web","Oh My Little Darling","aEAC#E",
"RSB, Web","Old Joe Clark","aEAC#E",
"RSB, Web","Old Joe Clark","aEADE",
"RSB, Web","Old Molly Hare","aDADE",
"RSB, Web","Polly Put The Kettle On","aDADE",
"RSB, Web","Roustabout   (Gaither Carlton version)","gDGDE",
"RSB, Web","Sail Away Ladies","gDGBD",
"RSB, Web","Sail Away Ladies","gDGDE",
"RSB, Web","Shady Grove","aEAC#E",
"RSB, Web","Shortening Bread","gDGBD",
"RSB, Web","Shortening Bread","gDGDE",
"RSB, Web","Spotted Pony","aDADE",
"RSB, Web","Sugar Hill","aDADE",
"RSB, Web","Walkin' In The Parlour","aDADE",
"RSB, Web","Western Country","aDADE",
"RSB, Web","Will The Circle Be Unbroken","aDADE",
"RSB, Web","Will The Circle Be Unbroken","aEAC#E",
