"Across The Blue Ridge Mountains","aDADE","Double D"
"Across The Blue Ridge Mountains","aEAC#E","A Major"
"Angelina Baker","aEAC#E","A Major"
"Angeline The Baker","aDADE","Double D"
"Barlow Knife","gDGBD","G Major"
"Barlow Knife","gDGDE","Old G"
"Big Lisa Jane","aDADE","Double D"
"Boating Up Sandy","aEAC#E","A Major"
"Boil Them Cabbage Down","aDADE","Double D"
"Boil Them Cabbage Down","aEAC#E","A Major"
"Bonaparte's March","aEADE","A Sawmill"
"Columbus Stockade Blues","gCGCD","Double C"
"Columbus Stockade Blues","gDGBD","G Major"
"Cripple Creek","aEAC#E","A Major"
"Ducks On The Millpond","aDADE","Double D"
"Fisher's Hornpipe","aDADE","Double D"
"Flying Indian","gDGBD","G Major"
"Flying Indian","gDGDE","Old G"
"Frosty Morn","aEADE","A Sawmill"
"Goin' Across The Sea","aDADE","Double D"
"Golden Slippers","aDADE","Double D"
"Goodbye Girls I'm Going To Boston","aEAC#E","A Major"
"Greasy Coat","aEAC#E","A Major"
"Jaw Bone","aEAC#E","A Major"
"Jesse James","aDADE","Double D"
"Jesse James","gDGBD","G Major"
"Julie Anne Johnson","aDADE","Double D"
"June Apple","aEAC#E","A Major"
"Keep On Truckin' Mama","gDGBD","C Rag"
"Keep On Truckin' Mama","gDGBD","G Rag"
"Leather Britches","gDGBD","G Major"
"Leather Britches","gDGDE","Old G"
"Lisa Jane","aEAC#E","A Major"
"Little Maggie","aEAC#E","A Major"
"Muskrat   (solo)","aDADD","Triple D"
"Muskrat   (string band)","aDADD","Triple D"
"Nonesuch","aDADE","Double D"
"Off To California","gDGBD","G Major"
"Off To California","gDGDE","Old G"
"Oh My Little Darling","aEAC#E","A Major"
"Old Joe Clark","aEAC#E","A Major"
"Old Joe Clark","aEADE","A Sawmill"
"Old Molly Hare","aDADE","Double D"
"Polly Put The Kettle On","aDADE","Double D"
"Roustabout   (Gaither Carlton version)","gDGDE","Old G"
"Sail Away Ladies","gDGBD","G Major"
"Sail Away Ladies","gDGDE","Old G"
"Shady Grove","aEAC#E","A Major"
"Shortening Bread","gDGBD","G Major"
"Shortening Bread","gDGDE","Old G"
"Spotted Pony","aDADE","Double D"
"Sugar Hill","aDADE","Double D"
"Walkin' In The Parlour","aDADE","Double D"
"Western Country","aDADE","Double D"
"Will The Circle Be Unbroken","aDADE","Double D"
"Will The Circle Be Unbroken","aEAC#E","A Major"
