"Book ID","Citation","Title","Tuning","Page"
"SteveHarvey_1","Harvey, 2009","June Apple (Appalacian)","gDGBD",6
"SteveHarvey_1","Harvey, 2009","Gathering Peascods","gDGBD",7
"SteveHarvey_1","Harvey, 2009","Lilli Burlero","gDGBD",8
"SteveHarvey_1","Harvey, 2009","I Care Not For These Ladies","gDGBD",9
"SteveHarvey_1","Harvey, 2009","Bobbing Joe","gDGBD",10
"SteveHarvey_1","Harvey, 2009","Gather Your Rosebuds","gDGBD",11
"SteveHarvey_1","Harvey, 2009","Grimstock","gDGBD",12
"SteveHarvey_1","Harvey, 2009","Jack’s Health","gDGBD",13
"SteveHarvey_1","Harvey, 2009","Newcastle","gDGBD",14
"SteveHarvey_1","Harvey, 2009","Cluck Old Hen (Appalacian)","gDGCD",15
"SteveHarvey_1","Harvey, 2009","The Beggar Boy","gDGCD",16
"SteveHarvey_1","Harvey, 2009","Heartease","gDGCD",17
"SteveHarvey_1","Harvey, 2009","Jenny Pluck Pears","gDGCD",18
"SteveHarvey_1","Harvey, 2009","Woodycock","gDGCD",19
"SteveHarvey_1","Harvey, 2009","Walking in the Parlor (Appalacian)","gDGCD",20
"SteveHarvey_1","Harvey, 2009","Nonesuch","gDGCD",21
"SteveHarvey_1","Harvey, 2009","Come Live With Me","gDGCD",22
"SteveHarvey_1","Harvey, 2009","Fortune My Foe","gDGCD",23
"SteveHarvey_1","Harvey, 2009","Chesnut","gDGCD",24
"SteveHarvey_1","Harvey, 2009","Peg o’ Ramsay","gDGCD",25
"SteveHarvey_1","Harvey, 2009","Kemps Jig","gDGCD",26
"SteveHarvey_1","Harvey, 2009","Katie Morey (Appalacian)","gCGCD#",27
"SteveHarvey_1","Harvey, 2009","Childgrove","gCGCD#",28
"SteveHarvey_1","Harvey, 2009","Lull Me Beyond Thee","gCGCD#",29
"SteveHarvey_1","Harvey, 2009","Jamaica","gCGCD#",30
"SteveHarvey_1","Harvey, 2009","Sandy River Belle","fCFCD",31
"SteveHarvey_1","Harvey, 2009","Parsons Farewell","fCFCD",32
"SteveHarvey_1","Harvey, 2009","Three Folks of Ivy","fCFCD",33
