"Citation","Title","Tuning","Page",
"Wild Jimbo, 2008","Barlow Knife","fCFCD",3
"Wild Jimbo, 2008","Buttons and Bows","gCGCD",4
"Wild Jimbo, 2008","Cluck Old Hen","gDGCD",5
"Wild Jimbo, 2008","Cripple Creek","fCFCD",6
"Wild Jimbo, 2008","Last Chance","fCFCD",7
"Wild Jimbo, 2008","Leather Britches","fCFCD",8
"Wild Jimbo, 2008","Mississippi Sawyer","gCGCD",9
"Wild Jimbo, 2008","Old Molly Hare","gCGCD",10
"Wild Jimbo, 2008","Old Joe Clark","fCFCD",11
"Wild Jimbo, 2008","Rock the Cradle Joe","gCGCD",12
"Wild Jimbo, 2008","Sally Ann","fCFCD",14
"Wild Jimbo, 2008","Shortening Bread","gDGAD",15
"Wild Jimbo, 2008","Sleepy Eyed John","gCGCD",16
"Wild Jimbo, 2008","Soldiers Joy","gCGCD",17
"Wild Jimbo, 2008","Sandy River Belle","fCFCD",19
"Wild Jimbo, 2008","Sugar Hill","gCGCD",20
"Wild Jimbo, 2008","Wave the Ocean","fCFCD",21
"Wild Jimbo, 2008","Way Lazy Hop","eCGCD",22
